"SoftwareSerial mySerial(10, 11);",CFP
 Serial.begin(9600);,CFP
 Serial.begin(11520);,CFP
"Serial.println(""Ready to communicate!"");",CFP
mySerial.begin(9600);,CFP
" mySerial.println(""Hello, world!"");",CFP
if (mySerial.available()),CFP
mySerial.read()),CFP
 Serial.write(mySerial.read());,CFP
#include <SoftwareSerial.h>,not CFP
int ledPin = 13;,not CFP
"pinMode(ledPin, OUTPUT);",CFP
if (data == '1'),not CFP
"digitalWrite(ledPin, HIGH);",CFP
Servo myservo;,CFP
myservo.attach(9);,CFP
int angle = Serial.parseInt();,CFP
myservo.write(angle);,CFP
#include <EthernetUdp.h>,not CFP
#include <Ethernet.h>,not CFP
"byte mac[] = { 0xDE, 0xAD, 0xBE, 0xEF, 0xFE, 0xED };",not CFP
"IPAddress ip(192, 168, 0, 177);",CFP
EthernetUDP udp;,CFP
udp.begin(localPort);,CFP
char packetBuffer[UDP_TX_PACKET_MAX_SIZE]; ,not CFP
int packetSize = udp.parsePacket(); ,CFP
if (packetSize) { ,not CFP
"udp.read(packetBuffer, UDP_TX_PACKET_MAX_SIZE);",CFP
Serial.println(packetBuffer);,CFP
"udp.beginPacket(udp.remoteIP(), udp.remotePort());",CFP
"udp.write(""ACK"");",CFP
udp.endPacket();,CFP
"const char* ssid = ""mySSID"";",not CFP
"const char* password = ""myPASSWORD"";",not CFP
"const char* mqtt_topic = ""myTOPIC"";",not CFP
"const char* mqtt_server = ""mqtt.example.com"";",not CFP
WiFiClient espClient; ,CFP
"WiFi.begin(ssid, password);",CFP
PubSubClient client(espClient); ,CFP
#include <PubSubClient.h>,not CFP
#include <WiFi.h>,not CFP
delay(1000);,CFP
while (WiFi.status() != WL_CONNECTED) { ,CFP
"Serial.println(""Connected to WiFi"");",CFP
"client.setServer(mqtt_server, 1883); ",CFP
client.setCallback(callback);,CFP
while (!client.connected()) { ,CFP
"if (client.connect(""arduino"", mqtt_username, mqtt_password)) { ",CFP
"Serial.println(""Connected to MQTT broker"");",CFP
client.subscribe(mqtt_topic);,CFP
String data = Serial.readStringUntil('\n'); ,CFP
"client.publish(mqtt_topic, data.c_str()); ",CFP
Serial.print((char)payload[i]);,CFP
for (int i = 0; i < length; i++) {,not CFP
else {,not CFP
"AF_DCMotor motor(1, MOTOR12_1KHZ);",CFP
#include <AFMotor.h>,not CFP
bluetooth.begin(9600); ,CFP
motor.setSpeed(200); ,CFP
if (bluetooth.available()) {,CFP
char data = bluetooth.read(); ,CFP
if (data == 'F') { ,not CFP
motor.run(FORWARD);,CFP
},not CFP
motor.run(RELEASE);,CFP
motor.run(BACKWARD);,CFP
} else if (data == 'B') { ,not CFP
const int xPin = A0; ,not CFP
const int yPin = A1; ,not CFP
const int buttonPin = 2; ,not CFP
int servoPos = 90;,not CFP
"pinMode(buttonPin, INPUT_PULLUP); ",CFP
myservo.write(servoPos); ,CFP
int xVal = analogRead(xPin); ,CFP
int yVal = analogRead(yPin); ,CFP
int buttonVal = digitalRead(buttonPin); ,CFP
"servoPos = map(xVal, 0, 1023, 0, 180);",not CFP
if (buttonVal == LOW) { ,not CFP
#include <LiquidCrystal.h>,not CFP
"const int rs = 12, en = 11, d4 = 5, d5 = 4, d6 = 3, d7 = 2; ",not CFP
"LiquidCrystal lcd(rs, en, d4, d5, d6, d7); ",CFP
int sensorPin = A0; ,not CFP
int sensorValue = 0; ,not CFP
"lcd.setCursor(0, 0);",CFP
"lcd.print(""LDR Sensor Value:"");",CFP
"lcd.setCursor(0, 1);",CFP
lcd.print(sensorValue); ,CFP
"lcd.begin(16, 2); ",CFP
#include <Wire.h>,not CFP
const int MPU_addr=0x68;  ,not CFP
"int16_t AcX,AcY,AcZ,Tmp,GyX,GyY,GyZ; ",not CFP
Wire.begin(); ,CFP
Wire.beginTransmission(MPU_addr); ,CFP
Wire.write(0x6B); ,CFP
Wire.write(0); ,CFP
Wire.endTransmission(true); ,CFP
const int ledPin = 13; ,not CFP
if (buttonState == HIGH) { ,not CFP
"digitalWrite(ledPin, HIGH); ",CFP
} else { ,not CFP
const int buzzerPin = 8; ,not CFP
"tone(buzzerPin, 1000); ",CFP
const int buttonPin = 2; ,not CFP
buttonState = digitalRead(buttonPin); ,CFP
"digitalWrite(ledPin, HIGH); ",CFP
long duration; ,not CFP
int distance; ,not CFP
"pinMode(trigPin, OUTPUT); ",CFP
delayMicroseconds(2); ,CFP
"duration = pulseIn(echoPin, HIGH); ",CFP
distance = duration * 0.034 / 2; ,not CFP
"pinMode(trigPin, OUTPUT); ",CFP
"pinMode(echoPin, INPUT); ",CFP
"analogWrite(motorPin, motorSpeed); ",CFP
if (distance < 10) { ,not CFP
#include <EEPROM.h> ,not CFP
#include <ESP8266WiFi.h> ,not CFP
EEPROM.begin(512); ,CFP
"EEPROM.write(addr, value); ",CFP
EEPROM.end(); ,CFP
int value = 42; ,not CFP
EEPROM.commit(); ,CFP
#include <SD.h> ,not CFP
if (!SD.begin(4)) { ,CFP
return;,CFP
"myFile = SD.open(""data.txt"", FILE_WRITE); ",CFP
if (myFile) { ,not CFP
while (myFile.available()) { ,CFP
if (!LittleFS.begin()) { ,CFP
"File file = LittleFS.open(""/data.txt"", ""w""); ",CFP
if (!file) { ,not CFP
"file = LittleFS.open(""/data.txt"", ""r""); ",CFP
file.close(); ,CFP
#include <Adafruit_Sensor.h>,not CFP
#include <Adafruit_BME280.h>,not CFP
#define SEALEVELPRESSURE_HPA (1013.25) ,not CFP
Adafruit_BME280 bme; ,CFP
if (!bme.begin(0x76)) { ,CFP
float temperature = bme.readTemperature(); ,CFP
while (1);,not CFP
float humidity = bme.readHumidity(); ,CFP
float pressure = bme.readPressure() / 100.0F; ,CFP
float altitude = bme.readAltitude(SEALEVELPRESSURE_HPA); ,CFP
"uint16_t red, green, blue, clear, proximity; ",not CFP
apds.enableColor(); ,CFP
apds.setProximityGain(PGAIN_2X); ,CFP
apds.enableProximity(); ,CFP
#include <Adafruit_Sensor.h>,not CFP
#include <Adafruit_BME280.h>,not CFP
#include <Adafruit_SSD1306.h>,not CFP
if (!bme.begin(0x76)) { ,CFP
"display.begin(SSD1306_SWITCHCAPVCC, 0x3C); ",CFP
display.clearDisplay(); ,CFP
display.setTextSize(1); ,CFP
display.setTextColor(WHITE); ,CFP
"display.println("" %"");",CFP
#define STEPPER_PIN_3 10 ,not CFP
"digitalWrite(STEPPER_PIN_1, i & 0x1); ",CFP
#include <Adafruit_LIS3DH.h>,not CFP
#define LED_PIN_1 2 ,not CFP
Adafruit_LIS3DH lis = Adafruit_LIS3DH(); ,CFP
lis.begin(0x18); ,CFP
lis.setRange(LIS3DH_RANGE_2_G); ,CFP
float x = lis.x / 1000.0; ,not CFP
 lis.read(); ,CFP
#include <TinyGPS++.h>,not CFP
#define GPS_RX_PIN 8 ,not CFP
"SoftwareSerial gpsSerial(GPS_RX_PIN, GPS_TX_PIN); ",CFP
TinyGPSPlus gps; ,CFP
if (gps.encode(gpsSerial.read())) { ,CFP
float lat = gps.location.lat(); ,CFP
#include <OneWire.h>,not CFP
#include <DallasTemperature.h>,not CFP
#include <Servo.h>,not CFP
DallasTemperature sensors(&oneWire);,CFP
Servo servoMotor;,CFP
servoMotor.attach(servoPin);,CFP
sensors.begin();,CFP
sensors.requestTemperatures();,CFP
float tempC = sensors.getTempCByIndex(0);,CFP
DynamicJsonDocument doc(200);,CFP
#define ONE_WIRE_BUS 2,not CFP
const float thresholdTemp = 25.0;,not CFP
noTone(buzzerPin);,CFP
"duration = pulseIn(echoPin, HIGH);",CFP
distance = duration * 0.034 / 2;,not CFP
tcs.setInterrupt(false);,CFP
"DHT dht(dhtPin, DHT11);",CFP
"String url = ""/update?temperature="" + String(temperature);",not CFP
"Serial.println("" C"");",CFP
float temperature = dht.readTemperature();,CFP
 if (isnan(temperature)) {,not CFP
return;,CFP
},not CFP
#include <DHT.h>,not CFP
#include<EthernetUDP>,not CFP
EthernetUDP.begin(); ,CFP
EthernetUDP.beginPacket();,CFP
EthernetUDP.write() ;,CFP
EthernetUDP.endPacket();,CFP
EthernetUDP.parsePacket();,CFP
gps.location.lng();,CFP
gps.date.isValid();,CFP
gps.date.year();,CFP
gps.date.month();,CFP
gps.date.day();,CFP
gps.time.isValid();,CFP
display.begin();,CFP
EEPROM.read(3000);,CFP
display.clearDisplay();,CFP
display.setTextSize();,CFP
display.setTextColor();,CFP
display.setCursor();,CFP
display.println();,CFP
display.display();,CFP
CAN.begin();,CFP
CAN.init_Mask();,CFP
CAN.init_Filt();,CFP
CAN.sendMsgBuf();,CFP
CAN.readMsgBuf();,CFP
CAN.checkReceive();,CFP
mlx.begin();,CFP
mlx.readObjectTempC();,CFP
grid.begin();,CFP
grid.readPixels();,CFP
grid.getPixelTemperature();,CFP
grid.getAmbientTemperature();,CFP
lsm.begin();,CFP
lsm.acceleration();,CFP
Ism.magneticField();,CFP
mag.begin();,CFP
mag.read();,CFP
mag.getHeading();,CFP
lps.readPressure();,CFP
lps.readTemperature();,CFP
#define trigPin 3 ,not CFP
